name,chinese_name,status_type,year_born,gender,native_city,native_province,bio,photo_link,photo_name,last_position_held,chinese_position,organization,chinese_organization,corruption_location,sentencing_status,investigated_date,investigated_link,investigated_ccdi,investigated_quote,expelled_date,expelled_link,expelled_ccdi,expelled_quote,sentenced_date,sentenced_link,sentenced_ccdi,sentence_details,sentenced_quote,total_yuan_corrupted,sector,sector_two,sector_three,family_connections,city_connections,province_connections,national_connections,other_connections,dead_date,dead_link,dead_details,which_tiger,previous_positions,naked_official
Liu Guosheng,刘国生,Fly,1963,Male,Shanxian,Shandong,,http://baike.baidu.com/subview/2429185/5752931.htm,Liu-Guosheng.jpg,Deputy Mayor,副市长,Heze City Government,山东省菏泽市,Shandong,Sentenced,8/29/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116472.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116472.html,,10/8/2014,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117494.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117494.html,,8/26/2016,http://news.xinhuanet.com/legal/2016-08/26/c_1119463092.htm,,"8 years imprisonment, 600,000 RMB fine",,"2,100,000",,,,,,,,,,,,,,
He Yibin,何益斌,Fly,1965,Male,Yiyang,Hunan,,http://baike.baidu.com/view/1902904.htm,He-Yibin.jpg,Assistant of President,校长助理,Hunan University,湖南大学,Hunan,Investigated,8/29/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116471.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116471.html,,,,,,,,,,,,,Education,,,,,,,,,,,,
Bai Enpei,白恩培,Tiger,1946,Male,Qingjian,Shaanxi,"From 2000 to 2011, Bai Enpei was Party Secretary of Yunnan province.",http://baike.baidu.com/view/33726.htm,Bai-Enpei.jpg,Vice Chairman,副主任委员﻿,Environmental Protection and Resources Conservation Committee of National People's Congress,十二届全国人大环资委,Yunnan,Sentenced,8/29/2014,http://ca.reuters.com/article/topNews/idCAKBN0GT1C520140829?sp=true,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115838.html,,1/13/2015,http://www.scmp.com/news/china/article/1679489/xi-jinping-vows-press-chinas-war-graft,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115967.html,,10/9/2016,http://www.nytimes.com/2016/10/22/world/asia/china-corrupt-officials-tv-series.html?_r=0,http://www.ccdi.gov.cn/yaowen/201610/t20161009_143891.html,Death sentence with 2-year reprieve,,"250,000,000",,Yunnan Group,,Zhang Huiqing,,"Liu Han, Shen Peiping,Zhang Tianxin,Gao Jinsong, Wang Tianchao",Bai Yun,,,,,Bai Yun,Party Secretary of Yunnan Province,
Ding Hua,丁铧,Fly,1958,Male,Yiwu,Zhejiang,,http://politics.people.com.cn/n/2014/0503/c1001-24967912.html,Ding-Hua.jpg,Chief Justice,院长,Taizhou City Intermediate People’s Court,浙江省台州市中级人民法院,Zhejiang,Expelled,9/2/2014,https://twitter.com/pdchina/status/514271740135219200,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116475.html,,9/23/2014,https://twitter.com/pdchina/status/514271740135219200,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117489.html,,,,,,,,Law,,,,,,,,,,,,,
Wang Aimin,王爱民,Fly,1958,Male,Nanhe,Hebei,,http://baike.baidu.com/subview/627537/5787409.htm,Wang-Aimin.jpg,Secretary,书记,Xingtai City Party Committee,河北省邢台市市委,Hebei,Expelled,9/4/2014,https://twitter.com/pdchina/status/507352191502282752,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116476.html,,4/15/2016,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117746.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117746.html,,,,,,,,,,,,,,,,,,,,,
Zhou Jianhua(2),周建华,Fly,1964,Male,Yueqing,Zhejiang,"Included in the Operation Skynet round-up, believed to be in the U.S.",http://g.hiphotos.baidu.com/baike/w%3D268/sign=ae9a8929ae18972ba33a07ccdecc7b9d/cefc1e178a82b901341c760e768da9773912ef5e.jpg,,Legal Representative,法定代表人        ,Jianqiao Construction Group Co ,建桥建设集团有限公司,Zhejiang,Investigated,9/4/2014,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4914838/content.html,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,,,,,,,,,,,,Real Estate,Sky Net,,,,,,,,,,,,
Jian Baoping,翦保平,Fly,1957,Male,Yinjiatang,Henan,,http://baike.baidu.com/view/10155549.htm,Jian-Baoping.jpg,Director,局长,Coal Geological Bureau of Henan Province,河南省煤田地质局,Henan,Expelled,9/5/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116478.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116478.html,,12/11/2015,http://henan.qq.com/a/20151212/019771.htm,http://www.xinhuanet.com/legal/2016-09/01/c_129265794.htm,,,,,,,,Mining,Coal,,,,,,,,,,,,
Zhao Xin,赵欣,Fly,1963,Male,,,,http://baike.baidu.com/subview/552945/6499611.htm,,Secretary,原书记,County Party Committee of Hetong County,黑龙江省通河县委,Heilongjiang,Expelled,9/5/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116479.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116479.html,,10/22/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117668.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117668.html,,,,,,,,,,,,,,,,,,,,,
Yang Wenli,杨文礼,Fly,,Male,,,,,,Deputy General Manager,副总经理,"Henan Transport Investment Group Co., Ltd",河南交通投资集团,Henan,Investigated,9/5/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116477.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116477.html,,,,,,,,,,,,,Transportation,SOE,,,,,,,,,,,
Du Wei,杜伟,Fly,1962,Male,Yanting,Sichuan,,http://baike.baidu.com/subview/1664047/7506451.htm#viewPageContent,Du-Wei.jpg,"Deputy Director, General Manager",副主任,"Collegium of Hainan International Tourism Island Pilot Zone, Hainan International Tourism Island Development and Construction Limited Company",海南国际旅游岛先行试验区管委会,Hainan,Expelled,9/8/2014,http://usa.chinadaily.com.cn/china/2014-12/15/content_19091973.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116480.html,,11/2/2014,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117505.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117505.html,,,,,,,,,,,,,Tan Li,,,,,,,,
Zhang Likui,张力奎,Fly,1954,Male,Changchun,Jilin,,http://baike.baidu.com/view/2294772.htm,,Secretary,书记,Party Committee of Zhengzhou Institute of Aeronautical Industry Management,郑州航空工业管理学院党委,Henan,Expelled,9/9/2014,http://wo.chinadaily.com.cn/view.php?mid=129369&cid=81&isid=1769,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116483.html,,12/1/2015,http://legal.people.com.cn/n/2015/0106/c42510-26336224.html,,,,,,,,,,,,,,,,,,,,,,
Guo Pengliang,郭鹏亮,Fly,1958,Male,Fugou,Henan,,http://baike.baidu.com/view/3232084.htm,Guo-Pengliang.jpg,Secretary,书记,Party Committee of Academy of Agricultural Sciences,河南省农科院党委,Henan,Sentenced,9/9/2014,http://usa.chinadaily.com.cn/china/2015-01/15/content_19330712.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116484.html,,1/15/2015,http://www.chinadaily.com.cn/hqgj/jryw/2015-01-15/content_13051324.html,,,11/25/2016,http://www.chinanews.com/sh/2016/11-25/8074395.shtml,,"11 years imprisonment, deprivation of political rights for 1 year, 1 million RMB fine ",,"5,070,000",,Education,,,,,,,,,,,,
Hou Junyi,侯俊义,Fly,,Male,,,,http://politics.people.com.cn/n/2014/0909/c1001-25626177.html,Hou-Junyi.jpg,Vice Chairman of the Standing Committee,副主任,People's Congress of Luoyang City,河南省洛阳市人大常委会,Henan,Expelled,9/9/2014,http://usa.chinadaily.com.cn/china/2015-01/15/content_19330712.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116482.html,,1/15/2015,http://www.spp.gov.cn/qwfb/201501/t20150115_88222.shtml,http://gb.cri.cn/42071/2015/01/15/7371s4842513.htm,,,,,,,,,,,,,,,,,,,,,
Wu Xiangqian,巫向前,Fly,1957,Male,,,,http://baike.baidu.com/view/14808630.htm,,President,院长,Shanghai Academy of Health Sciences,上海健康职业技术学院,Shanghai,Sentenced,9/9/2014,http://shanghaiist.com/2014/09/24/11-shanghai-gov-officials-under-investigation-for-corruption.php,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116485.html,,9/22/2014,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117488.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117488.html,,12/21/2016,http://news.xinhuanet.com/2016-12/21/c_1120162768.htm,,"12 years imprisonment, 200,000 RMB fine, 1.5 million RMB in personal assets confiscated",,"9,340,000",,Education,,,,,,,,,,,,
Li Lu,李路,Fly,,Male,,,,,,"Former Secretary, Former chairman",副主席,Overseas Chinese Federation of Shaanxi,陕西省侨联,Shaanxi,Investigated,9/9/2014,http://fanfu.people.com.cn/n/2014/1113/c64371-26013354.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116481.html,Li received one year party probation punishment http://www.ccdi.gov.cn/yaowen/201411/t20141112_133881.html,,,,,,,,,,,,,,,"Zhen Liangju, Yu Baohua",,,,,,,,,
Wang Hongji,王洪记,Fly,1966,Male,,,,,,Deputy Director,副局长,Harbin City Department of Transportation,哈尔滨市交通局,Heilongjiang,Investigated,9/9/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116486.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116486.html,,,,,,,,,,,,,Transportation,,,,,,,,,,,,
Zheng Liangju,郑良驹,Fly,,Male,,,,,,Former Secretary,原党组书记,Overseas Chinese Federation of Shaanxi,陕西省侨联,Shaanxi,Investigated,9/9/2014,http://fanfu.people.com.cn/n/2014/1113/c64371-26013354.html,http://www.ccdi.gov.cn/jlsc/201409/t20140909_42294.html ,On party probation for 1 year. http://www.ccdi.gov.cn/yaowen/201411/t20141112_133881.html,,,,,,,,,,,,,,,"Li Lu, Yu Baohua",,,,,,,,,
Yu Baohua,于保华,Fly,,Male,,,,,,"Former Member, Former Discipline Supervisor",纪检组长,Overseas Chinese Federation of Shaanxi,陕西省侨联,Shaanxi,Investigated,9/9/2014,http://fanfu.people.com.cn/n/2014/1113/c64371-26013354.html,http://www.ccdi.gov.cn/yw/201409/t20140909_37776.html,On party probation for 1 year. http://www.ccdi.gov.cn/yaowen/201411/t20141112_133881.html,,,,,,,,,,,,,,,"Zhen Liangju, Li Lu",,,,,,,,,
Zheng Yi,郑怡,Fly,,Male,,,,,,Former Primary Representative,原首席代表,Harbin City Department of Planning Co-Investigation Center,哈尔滨市规划局联审中心,Heilongjiang,Investigated,9/9/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116486.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116486.html,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang Jian,张健,Fly,,Male,,,,,,Discipline Supervisor,纪检组长,Songhuajiang Office of Summer City Construction Songhuajiang Project,哈尔滨市松花江避暑城建设办公室,Heilongjiang,Investigated,9/9/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116486.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116486.html,,,,,,,,,,,,,Construction,,,,,,,,,,,,
Yang Jinxian,杨进先,Fly,1957,Male,,,,http://www.baike.com/wiki/%E6%9D%A8%E8%BF%9B%E5%85%88,,"Deputy Party Secretary, Chief Supervisor","副书记, 监事长",Longjiang Bank,龙江银行股份有限公司党委,Heilongjiang,Expelled,9/10/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116487.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116487.html,,12/4/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117520.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117520.html,,,,,,,,,Banking,SOE,,,,,,,,,,,
Wang Zhenkun,王振坤,Fly,1963,Male,,,,http://baike.baidu.com/subview/3349474/15545658.htm,,"Secretary, President","书记, 董事长",Inner Mongolia Financial Investment Group,内蒙古金融投资集团党委,Inner Mongolia,Expelled,9/10/2014,https://www.youtube.com/watch?v=7YUPzQasWng,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116488.html,,9/10/2015,http://www.chinadaily.com.cn/hqcj/zxqxb/2015-09-10/content_14175184.html,http://www.xinhuanet.com/legal/2015-09/10/c_128216311.htm,,,,,,,,,SOE,Finance,,,,,,,,,,,
Gao Lieqing,高烈卿,Fly,,Male,,,,http://baike.baidu.com/subview/14987126/15627957.htm,Gao-Lieqing.jpg,Former Director,原主任,Committee on Politics and Economies of People's Consultative Committee,新疆区政协经济委员会,Xinjiang,Expelled,9/11/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116491.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116491.html,,11/6/2014,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117507.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117507.html,,,,,,,,,,,,,,,,,,,,,
Wang Tianchao,王天朝,Fly,1957,Male,,,,http://news.ifeng.com/a/20150427/43642134_0.shtml,,Director,院长,Yunnan Provincial First People's Hospital,云南省第一人民医院,Yunnan,Expelled,9/11/2014,http://www.globaltimes.cn/content/919038.shtml,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116490.html,,8/18/2016,http://yn.people.com.cn/news/yunnan/n2/2016/0818/c228496-28857265.html,http://yn.people.com.cn/news/yunnan/n2/2016/0818/c228496-28857265.html,,,,,,,,,Medicine,,,,Bai Enpei,,,,,,Bai Enpei,,
Meng Xiaoling,孟晓灵,Fly,1962,Female,Hejian,Hebei,,http://www.baike.com/wiki/%E5%AD%9F%E6%99%93%E7%81%B5,Meng-Xiaoling.jpg,Deputy Director,副主任,Baoding City People's Congress,河北省保定市人大,Hebei,Expelled,9/12/2014,http://www.globaltimes.cn/content/898442.shtml,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116498.html,,12/24/2014,http://district.ce.cn/newarea/sddy/201412/24/t20141224_4195353.shtml,http://district.ce.cn/newarea/sddy/201412/24/t20141224_4195353.shtml,,,,,,,,,,,,,,,,,,,,,
Chen Zhonghuai,陈仲怀,Fly,1955,Male,Guigang,Guangxi,,http://baike.baidu.com/view/3981990.htm,Chen-Zhonghuai.jpg,"Member, Director","党组成员, 局长","Department of Land Resources Leading Party Group, Administration for Surveying, Mapping, and Geoinformation","广西壮族自治区国土资源厅, 自治区测绘地理信息局",Guangxi,Sentenced,9/12/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116495.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116495.html,,12/1/2014,http://politics.people.com.cn/n/2014/1201/c1001-26128043.html,http://politics.people.com.cn/n/2014/1201/c1001-26128043.html,,5/12/2015,http://www.ccdi.gov.cn/jdbg/chyjs/201702/t20170216_156147.html,http://www.ccdi.gov.cn/jdbg/chyjs/201702/t20170216_156147.html,13 years and 6 months imprisonment,,,,,,,,,,,,,,,,
Wang Junying,王俊英,Fly,1958,Male,Zhaoxian,Hebei,,http://baike.baidu.com/subview/2067648/9317731.htm,,"Deputy Director, Chairman","副主任, 主席","Shijiazhuang City People's Committee, Shijiazhuang City Labor Union","河北省石家庄市人大, 市总工会",Hebei,Expelled,9/12/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116499.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116499.html,,3/6/2015,http://district.ce.cn/newarea/sddy/201503/16/t20150316_4833419.shtml,http://district.ce.cn/newarea/sddy/201503/16/t20150316_4833419.shtml,,,,,,,,,,,,,,,,,,,,,
Lin Qiang,林强,Fly,1969,Male,Qinhuangdao,Hebei,,http://baike.baidu.com/subview/744723/8561461.htm#viewPageContent,Lin-Qiang.jpg,"Deputy Mayor, Secretary","原副书记, 原市长","Tieling Cityity, Tieling City Party Committee","辽宁省铁岭市委, 市政府",Liaoning,Expelled,9/12/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116494.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116494.html,,2/9/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117556.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117556.html,,,,,,,,,,,,,,,,,,,,,
Chen Changlin,陈长林,Fly,1963,Male,Shenyang,Liaoning,,,,"Deputy Chef Justice, Party Commission Deputy Secretary","副院长, 党组副书记",Shenyang Railway Transportation Intermediate Court,沈阳铁路运输中级法院,Liaoning,Expelled,9/12/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116492.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116492.html,,1/15/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117543.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117543.html,,,,,,,,Law,Rail,,,,,,,,,,,,
Feng Shusheng,冯梳胜,Fly,1951,Male,Zhongshan,Guangdong,,http://baike.baidu.com/view/4680837.htm,Feng-Shusheng.jpg,"Former Member, Former Secretary","原常委, 原党委书记","Zhongshan City Standing Committee, Torch Hi-Tech Industrial Development Zone Subdistrict Party Committee","中山市委原常委, 火炬高新技术产业开发区",Guangdong,Investigated,9/12/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116497.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116497.html,,,,,,,,,,,,,,,,,,,,,,,,,
Yang Jianhua,杨建华,Fly,1964,Male,Yingshan,Sichuan,,http://baike.baidu.com/subview/805005/9317357.htm,,"Member, Chairman","常委委员, 主席","Nanchong City Party Committee, Nanchong City Labor Union","四川省南充市委,市总工会",Sichuan,Sentenced,9/12/2014,http://www.globaltimes.cn/content/942515.shtml,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116496.html,,,,,,9/15/2015,http://news.xinhuanet.com/2015-09/15/c_1116567194.htm ,http://www.ccdi.gov.cn/toutiao/201509/t20150915_124252.html,20 years imprisonment,,"16,710,000",,,,,,,,,,,,,,
Zhang Xiaopu,张小普,Fly,1954,Female,,,,,,"Member, Standing Committee Member, Deputy Director","委员, 常委, 副主任","Discipline Inspection Commission, People's Political Consultative Committee, Committee of Population Resources and Environment","中共辽宁省第十一届纪委, 省政协, 人口资源环境委员会",Liaoning,Sentenced,9/12/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116493.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116493.html,,2/9/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117556.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117556.html,,10/27/2015,http://news.163.com/15/1027/16/B6UQAMP30001124J.html?baike ,,15 years imprisonment,,"2,000,000",,,,,,,,,,,,,,
Feng Yajun,冯亚军,Fly,1966,Male,Haimeng,Jiangsu,,http://baike.baidu.com/view/5828765.htm,Feng-Yajun.jpg,"Standing committee member, Secretary","常委, 区委书记","Nanjing City Party Committee, Nanjing Jianye District Party Committee","江苏省南京市委, 建邺区委",Jiangsu,Sentenced,9/13/2014,http://www.scmp.com/news/china/policies-politics/article/1792724/tycoon-son-former-senior-jiangsu-official-linked-group,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116500.html,,1/4/2016,http://district.ce.cn/newarea/sddy/201601/04/t20160104_8031474.shtml,,,2/23/2017,http://fanfu.people.com.cn/n1/2017/0223/c64371-29103333.html,,"5 years imprisonment, 300,000 RMB fine",,"843,600",,,,,"Zhao Shaolin, Yang Weize, Jiang Ming",,,,,,,,,
Sun Zhaoxue,孙兆学,Tiger,1962,Male,Jishan,Shanxi,,http://politics.people.com.cn/n/2014/0915/c1001-25665438.html,Sun-Zhaoxue.jpg,"General Manager, Party Member",总经理,Aluminum Corporation of China Limited,中国铝业公司,Beijing,Sentenced,9/15/2014,http://www.wsj.com/articles/aluminum-corp-of-china-president-placed-under-investigation-1410845162,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115840.html,,12/23/2014,http://www.nytimes.com/aponline/2014/12/23/world/asia/ap-as-china-corruption.html?_r=0,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115966.html,,12/27/2016,https://www.reuters.com/article/us-china-corruption-chinalco/chinese-court-jails-former-chinalco-president-for-16-years-for-graft-idUSKBN14G0OR,http://www.xinhuanet.com/legal/2016-12/27/c_1120199066.htm,16 years imprisonment,,,,Adultery,SOE,,,,,,,,,Sun Zhaoxue,,
Chen Weimin,陈卫民,Fly,1959,Male,Le‘an,Jiangxi,,http://f.hiphotos.baidu.com/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=b69e3c847ef0f736ccf344536b3cd87c/342ac65c10385343e6088dda9513b07ecb808801.jpg,Chen-Weimin.jpg,Secretary,书记,Pingxiang City Party Committee,江西省萍乡市,Jiangxi,Investigated,9/15/2014,http://www.globaltimes.cn/content/898949.shtml,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116501.html,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Baojun,王宝军,Fly,1956,Male,Gucheng,Hebei,,http://baike.baidu.com/subview/949034/8804217.htm,,Chairman,主席,Hengshui People's Political Consultative Committee,河北省衡水市政协,Hebei,Expelled,9/17/2014,http://www.chinadailyasia.com/nation/2015-01/08/content_15211597.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116504.html,,12/1/2015,http://www.chinadailyasia.com/nation/2015-01/08/content_15211597.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117689.html,,,,,,,,,,,,,,,,,,,,,
Pan Yiyang,潘逸阳,Tiger,1961,Male,Huiyang,Guangdong,,http://politics.people.com.cn/n/2014/0917/c1001-25679993.html,Pan-Yiyang.jpg,"Standing Committee Member, Deputy Governor","原常委, 原副主席","Inner Mongolia Autonomous Region Standing Committee, Inner Mongolia Autonomous Religious Government ","内蒙古自治区党委, 内蒙古自治区政府",Inner Mongolia,Sentenced,9/17/2014,http://www.scmp.com/news/china/article/1594950/party-watchdog-investigates-inner-mongolia-deputy-head-pan-yiyang,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115841.html,,10/16/2015,http://www.scmp.com/news/china/article/1594950/party-watchdog-investigates-inner-mongolia-deputy-head-pan-yiyang,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_116005.html,,4/18/2017,https://www.reuters.com/article/us-china-corruption/china-jails-official-who-bribed-disgraced-presidential-aide-idUSKBN17K109?il=0,http://www.ccdi.gov.cn/yaowen/201704/t20170418_146722.html,20 years imprisonment,,,,,,,,"Wang Suyi, Su Rong",,,,,,Su Rong,Standing committee member of Jiangxi Provincial Committee                                        ,
Huang Xiaoyan,黄晓炎,Fly,1960,Male,Nan'an,Fujian,,,,Secretary,书记,Longyan City Party Committee,福建省龙岩市委,Fujian,Expelled,9/17/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116502.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116502.html,,5/19/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117606.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117606.html,,,,,,,,,Adultery,,,,,,,,,,,,
Li Qiang,李强,Fly,1955,Male,Shuyang,Jiangsu,,http://baike.baidu.com/subview/50494/5603375.htm,Li-Qiang.jpg,Party Secretary,书记,Lianyungang City Party Committee,江苏省连云港市委,Jiangsu,Expelled,9/17/2014,http://www.scmp.com/news/china/policies-politics/article/1792724/tycoon-son-former-senior-jiangsu-official-linked-group,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116505.html,,3/18/2015,http://www.spp.gov.cn/qwfb/201503/t20150318_93431.shtml,http://www.spp.gov.cn/qwfb/201503/t20150318_93431.shtml,,,,,,,,,,,,Zhao Shaolin,,,,,,,,,
Zhao Shan,赵山,Fly,1963,Male,Yutian,Hebei,,http://baike.baidu.com/subview/243553/13237438.htm,,Deputy Director,副主任,Tangshan City People's Congress,河北省唐山市人大,Hebei,Expelled,9/17/2014,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116503.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116503.html,,12/10/2014,http://district.ce.cn/newarea/sddy/201412/10/t20141210_4090184.shtml,http://district.ce.cn/newarea/sddy/201412/10/t20141210_4090184.shtml,,,,,,,,,,,,,,,,,,,,,
Zou Ping,邹平,Fly,1963,Male,Jiangjin,Chongqing,,http://baike.baidu.com/subview/281595/7963683.htm,,Deputy Mayor,原副市长,Nanchong City,南充市,Sichuan,Expelled,3/17/2014,http://www.globaltimes.cn/content/849189.shtml,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116251.html,,9/18/2014,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117485.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117485.html,, , ,,,,,,,,,,,,,,,,,,
Wei Likun,韦丽坤,Fly,1954,Female,Gaozhou,Guangdong,,http://baike.baidu.com/view/1860300.htm,Wei-Likun.jpg,"Chairman, Party Secretary",主席,Yangjiang City CPPCC,阳江市政协,Guangdong,Sentenced,9/19/2014,http://politics.people.com.cn/n/2014/0919/c1001-25697547.html,http://politics.people.com.cn/n/2014/0919/c1001-25697547.html,,1/8/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117540.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117540.html,,7/18/2017,http://www.chinanews.com/sh/2017/07-18/8280531.shtml,,"13 years imprisonment, 5 million RMB fine",,"1,166,000",,,,,,,,,,,,,,
Mai Jingru,麦镜儒,Fly,,Male,Huizhou,Guangdong,,http://baike.baidu.com/item/%E9%BA%A6%E9%95%9C%E5%84%92,,Deputy Inspector,原副巡视员,Guangdong Provincial Department of Land and Resources,广东省国土资源厅,Guangdong,Expelled,9/22/2014,http://politics.people.com.cn/n/2014/0922/c1001-25709059.html,http://politics.people.com.cn/n/2014/0922/c1001-25709059.html,,4/3/2015,http://usa.chinadaily.com.cn/china/2015-04/10/content_20407809.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117577.html,,,,,,,,,,,,,,,,,,,,,
